"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Załączanie pliku tekstowego (Logi)","","2026-04-18","passed","2026-04-18","TestVisualEvidence","test_103_attachments","",""
"","0","Błąd: Brak uprawnień do lekcji premium","","2026-04-18","passed","2026-04-18","TestCourseFlow","test_102_meta_reporting","",""
"","1","Test ze zrzutem ekranu (Symulacja)","","2026-04-18","failed","2026-04-18","TestVisualEvidence","test_103_attachments","",""
"Sprawdza, czy skrypt widzi API oraz Dockerowe Appium (port 4723).","154","Weryfikacja Mostu Hybrydowego","","2026-04-18","passed","2026-04-18","TestAllureSetup","Blok 10: Raportowanie i Automatyzacja","",""
"Ten test ma celowo pokazać, jak Allure raportuje błędy.","2","Test Przykładowego Błędu","","2026-04-18","failed","2026-04-18","TestAllureSetup","Blok 10: Raportowanie i Automatyzacja","",""
"","0","Weryfikacja ładowania lekcji w Bloku 10","","2026-04-18","passed","2026-04-18","TestCourseFlow","test_102_meta_reporting","",""
